year,round,round_code,best of,winner,winner_nat,winner_seed,winner_score,loser,loser_nat,loser_seed,loser_score
1977,Last 16,L16,25,Ray Reardon,WAL,1,13,Patsy Fagan,IRL,u,7
1977,Last 16,L16,25,John Spencer,ENG,8,13,John Virgo,ENG,u,9
1977,Last 16,L16,25,Graham Miles,ENG,5,13,Willie Thorne,ENG,u,4
1977,Last 16,L16,25,John Pulman,ENG,u,13,Fred Davis,ENG,4,12
1977,Last 16,L16,25,Eddie Charlton,AUS,3,13,David Taylor,ENG,u,5
1977,Last 16,L16,25,Cliff Thorburn,CAN,u,13,Rex Williams,ENG,6,6
1977,Last 16,L16,25,Dennis Taylor,NIR,u,13,Perrie Mans,RSA,7,11
1977,Last 16,L16,25,Doug Mountjoy,WAL,u,13,Alex Higgins,NIR,2,12
1977,Quarter-Finals,QF,25,John Spencer,ENG,8,13,Ray Reardon,WAL,1,6
1977,Quarter-Finals,QF,25,John Pulman,ENG,u,13,Graham Miles,ENG,5,10
1977,Quarter-Finals,QF,25,Cliff Thorburn,CAN,u,13,Eddie Charlton,AUS,3,12
1977,Quarter-Finals,QF,25,Dennis Taylor,NIR,u,13,Doug Mountjoy,WAL,u,11
1977,Semi-Finals,SF,35,John Spencer,ENG,8,18,John Pulman,ENG,u,16
1977,Semi-Finals,SF,35,Cliff Thorburn,CAN,u,18,Dennis Taylor,NIR,u,16
1977,The Final,FIN,49,John Spencer,ENG,8,25,Cliff Thorburn,CAN,u,21
1978,Last 16,L16,25,Perrie Mans,RSA,u,13,John Spencer,ENG,1,8
1978,Last 16,L16,25,Graham Miles,ENG,8,13,David Taylor,ENG,u,10
1978,Last 16,L16,25,Patsy Fagan,IRL,u,13,Alex Higgins,NIR,5,12
1978,Last 16,L16,25,Fred Davis,ENG,u,13,Dennis Taylor,NIR,4,9
1978,Last 16,L16,25,Eddie Charlton,AUS,3,13,Willie Thorne,ENG,u,12
1978,Last 16,L16,25,Cliff Thorburn,CAN,6,13,Pat Houlihan,ENG,u,8
1978,Last 16,L16,25,Bill Werbeniuk,CAN,u,13,John Pulman,ENG,7,4
1978,Last 16,L16,25,Ray Reardon,WAL,2,13,Doug Mountjoy,WAL,u,9
1978,Quarter-Finals,QF,25,Perrie Mans,RSA,u,13,Graham Miles,ENG,8,7
1978,Quarter-Finals,QF,25,Fred Davis,ENG,u,13,Patsy Fagan,IRL,u,10
