player,country,span,first,last,best_performance,tournaments,first_round,last_16,quarter_finals,semi_finals,runner_up,winner,matches_played,matches_won,matches_lost,match_win_pct,frames_played,frames_won,frames_lost,frame_win_pct
Alain Robidoux,CAN,10,1990,1999,Semi-Finals,9,6,2,0,1,0,0,14,5,9,35.71428571,258,118,140,45.73643411
Alan McManus,SCO,26,1991,2016,Semi-Finals,20,5,10,2,3,0,0,43,23,20,53.48837209,831,391,440,47.05174489
Alex Higgins,NIR,18,1977,1994,Winner,14,4,6,1,1,1,1,29,16,13,55.17241379,621,317,304,51.04669887
Alfie Burden,ENG,1,1998,1998,First Round,1,1,0,0,0,0,0,1,0,1,0,18,8,10,44.44444444
Ali Carter,ENG,15,2003,2017,The Final,15,4,7,1,1,2,0,35,20,15,57.14285714,709,364,345,51.33991537
Andrew Higginson,ENG,4,2009,2012,Last 16,2,1,1,0,0,0,0,3,1,2,33.33333333,57,28,29,49.12280702
Andrew Pagett,WAL,1,2011,2011,First Round,1,1,0,0,0,0,0,1,0,1,0,17,7,10,41.17647059
Andy Hicks,ENG,13,1995,2007,Semi-Finals,8,6,1,0,1,0,0,12,4,8,33.33333333,208,93,115,44.71153846
Anthony Davies,WAL,9,1994,2002,Last 16,3,2,1,0,0,0,0,4,1,3,25,63,23,40,36.50793651
Anthony Hamilton,ENG,13,1996,2008,Quarter-Finals,12,4,4,4,0,0,0,24,12,12,50,434,201,233,46.31336406
Anthony McGill,SCO,3,2015,2017,Quarter-Finals,3,1,1,1,0,0,0,6,3,3,50,114,52,62,45.61403509
Barry Hawkins,ENG,12,2006,2017,The Final,12,5,2,1,3,1,0,29,17,12,58.62068966,605,307,298,50.74380165
Barry Pinches,ENG,15,1991,2005,Last 16,3,2,1,0,0,0,0,4,1,3,25,71,30,41,42.25352113
Barry West,ENG,2,1987,1988,First Round,2,2,0,0,0,0,0,2,0,2,0,31,11,20,35.48387097
Ben Woollaston,ENG,1,2013,2013,First Round,1,1,0,0,0,0,0,1,0,1,0,14,4,10,28.57142857
Bill Werbeniuk,CAN,11,1978,1988,Quarter-Finals,10,2,4,4,0,0,0,20,10,10,50,370,180,190,48.64864865
Billy Snaddon,SCO,8,1994,2001,First Round,5,5,0,0,0,0,0,5,0,5,0,82,32,50,39.02439024
Bob Chaperon,CAN,5,1988,1992,First Round,3,3,0,0,0,0,0,3,0,3,0,46,16,30,34.7826087
Bradley Jones,ENG,1,1997,1997,First Round,1,1,0,0,0,0,0,1,0,1,0,19,9,10,47.36842105
Brady Gollan,CAN,1,1990,1990,First Round,1,1,0,0,0,0,0,1,0,1,0,18,8,10,44.44444444
Brian Morgan,ENG,5,1993,1997,Last 16,4,3,1,0,0,0,0,5,1,4,20,89,37,52,41.57303371
Cao Yupeng,CHN,1,2012,2012,Last 16,1,0,1,0,0,0,0,2,1,1,50,36,17,19,47.22222222
Chris Small,SCO,14,1992,2005,Last 16,8,5,3,0,0,0,0,11,3,8,27.27272727,197,84,113,42.63959391
Cliff Thorburn,CAN,18,1977,1994,Winner,15,4,1,4,3,2,1,40,26,14,65,877,461,416,52.56556442
Cliff Wilson,WAL,11,1980,1990,First Round,8,8,0,0,0,0,0,8,0,8,0,119,39,80,32.77310924
Craig Edwards,ENG,1,1991,1991,First Round,1,1,0,0,0,0,0,1,0,1,0,17,7,10,41.17647059
Craig Steadman,ENG,1,2015,2015,First Round,1,1,0,0,0,0,0,1,0,1,0,13,3,10,23.07692308
Danny Fowler,ENG,8,1986,1993,First Round,4,4,0,0,0,0,0,4,0,4,0,55,15,40,27.27272727
Darren Morgan,WAL,12,1989,2000,Semi-Finals,10,3,3,3,1,0,0,22,12,10,54.54545455,408,194,214,47.54901961
Dave Harold,ENG,18,1994,2011,Quarter-Finals,11,8,2,1,0,0,0,15,4,11,26.66666667,242,100,142,41.32231405
Dave Martin,ENG,6,1981,1986,First Round,4,4,0,0,0,0,0,4,0,4,0,56,16,40,28.57142857
David Gilbert,ENG,10,2007,2016,Last 16,4,3,1,0,0,0,0,5,1,4,20,88,37,51,42.04545455
David Grace,ENG,1,2017,2017,First Round,1,1,0,0,0,0,0,1,0,1,0,16,6,10,37.5
David Gray,ENG,9,1998,2006,Quarter-Finals,6,3,2,1,0,0,0,10,4,6,40,169,74,95,43.78698225
David McLellan,SCO,1,1997,1997,First Round,1,1,0,0,0,0,0,1,0,1,0,12,2,10,16.66666667
David Roe,ENG,13,1989,2001,Last 16,6,4,2,0,0,0,0,8,2,6,25,146,68,78,46.57534247
David Taylor,ENG,11,1977,1987,Semi-Finals,11,3,6,1,1,0,0,19,8,11,42.10526316,343,167,176,48.68804665
Dean Reynolds,ENG,12,1982,1993,Quarter-Finals,11,7,3,1,0,0,0,16,5,11,31.25,286,132,154,46.15384615
Dechawat Poomjaeng,THA,1,2013,2013,Last 16,1,0,1,0,0,0,0,2,1,1,50,35,13,22,37.14285714
Dene O'Kane,NZL,12,1985,1996,Quarter-Finals,6,4,0,2,0,0,0,10,4,6,40,168,73,95,43.45238095
Dennis Taylor,NIR,18,1977,1994,Winner,18,5,6,3,2,1,1,39,22,17,56.41025641,830,428,402,51.56626506
Ding Junhui,CHN,11,2007,2017,The Final,11,3,3,2,2,1,0,28,17,11,60.71428571,581,303,278,52.15146299
Dominic Dale,WAL,18,1997,2014,Quarter-Finals,9,6,1,2,0,0,0,14,5,9,35.71428571,235,111,124,47.23404255
Doug Mountjoy,WAL,17,1977,1993,The Final,17,3,11,2,0,1,0,33,16,17,48.48484848,622,308,314,49.51768489
Drew Henry,SCO,12,1994,2005,Last 16,6,4,2,0,0,0,0,8,2,6,25,149,70,79,46.97986577
Eddie Charlton,AUS,16,1977,1992,Semi-Finals,15,3,6,3,3,0,0,33,18,15,54.54545455,647,322,325,49.76816074
Eddie Sinclair,SCO,1,1984,1984,First Round,1,1,0,0,0,0,0,1,0,1,0,11,1,10,9.090909091
Euan Henderson,SCO,1,1996,1996,First Round,1,1,0,0,0,0,0,1,0,1,0,19,9,10,47.36842105
Eugene Hughes,IRL,7,1983,1989,Last 16,5,4,1,0,0,0,0,6,1,5,16.66666667,104,44,60,42.30769231
Fergal O'Brien,IRL,24,1994,2017,Quarter-Finals,10,7,2,1,0,0,0,14,4,10,28.57142857,239,96,143,40.16736402
Fred Davis,ENG,8,1977,1984,Semi-Finals,7,2,3,1,1,0,0,11,3,8,27.27272727,217,93,124,42.85714286
Gary Ponting,ENG,1,1994,1994,First Round,1,1,0,0,0,0,0,1,0,1,0,12,2,10,16.66666667
Gary Wilkinson,ENG,15,1989,2003,Quarter-Finals,10,6,2,2,0,0,0,16,6,10,37.5,285,132,153,46.31578947
Gary Wilson,ENG,1,2017,2017,First Round,1,1,0,0,0,0,0,1,0,1,0,18,8,10,44.44444444
Gerard Greene,NIR,12,1999,2010,First Round,5,5,0,0,0,0,0,5,0,5,0,76,26,50,34.21052632
Graeme Dott,SCO,21,1997,2017,Winner,18,8,6,1,0,2,1,38,21,17,55.26315789,770,379,391,49.22077922
Graham Horne,SCO,1,1997,1997,First Round,1,1,0,0,0,0,0,1,0,1,0,16,6,10,37.5
Graham Miles,ENG,8,1977,1984,Quarter-Finals,8,3,3,2,0,0,0,12,4,8,33.33333333,211,89,122,42.18009479
Ian Black,SCO,1,1983,1983,First Round,1,1,0,0,0,0,0,1,0,1,0,13,3,10,23.07692308
Ian Graham,ENG,1,1991,1991,First Round,1,1,0,0,0,0,0,1,0,1,0,13,3,10,23.07692308
Ian McCulloch,ENG,9,1999,2007,Semi-Finals,5,2,1,1,1,0,0,11,6,5,54.54545455,218,105,113,48.16513761
Jack Fitzmaurice,ENG,1,1982,1982,First Round,1,1,0,0,0,0,0,1,0,1,0,14,4,10,28.57142857
Jack Lisowski,ENG,1,2013,2013,First Round,1,1,0,0,0,0,0,1,0,1,0,13,3,10,23.07692308
James Wattana,THA,15,1992,2006,Semi-Finals,13,7,3,1,2,0,0,24,11,13,45.83333333,457,220,237,48.14004376
Jamie Burnett,SCO,19,1996,2014,First Round,4,4,0,0,0,0,0,4,0,4,0,63,23,40,36.50793651
Jamie Cope,ENG,7,2008,2014,Last 16,5,3,2,0,0,0,0,7,2,5,28.57142857,127,58,69,45.66929134
Jamie Jones,WAL,4,2012,2015,Quarter-Finals,2,1,0,1,0,0,0,4,2,2,50,77,36,41,46.75324675
Jason Ferguson,ENG,7,1992,1998,First Round,3,3,0,0,0,0,0,3,0,3,0,54,24,30,44.44444444
Jason Prince,NIR,1,1998,1998,First Round,1,1,0,0,0,0,0,1,0,1,0,18,8,10,44.44444444
Jim Donnelly,SCO,1,1982,1982,First Round,1,1,0,0,0,0,0,1,0,1,0,15,5,10,33.33333333
Jim Meadowcroft,ENG,4,1980,1983,First Round,3,3,0,0,0,0,0,3,0,3,0,39,9,30,23.07692308
Jim Wych,CAN,13,1980,1992,Quarter-Finals,4,2,0,2,0,0,0,8,4,4,50,146,72,74,49.31506849
Jimmy Michie,ENG,1,1996,1996,First Round,1,1,0,0,0,0,0,1,0,1,0,18,8,10,44.44444444
Jimmy Robertson,ENG,7,2011,2017,First Round,3,3,0,0,0,0,0,3,0,3,0,45,15,30,33.33333333
Jimmy White,ENG,26,1981,2006,The Final,25,6,4,5,4,6,0,75,50,25,66.66666667,1558,847,711,54.36456996
Joe Delaney,IRL,1,2007,2007,First Round,1,1,0,0,0,0,0,1,0,1,0,12,2,10,16.66666667
Joe Johnson,ENG,8,1984,1991,Winner,8,5,1,0,0,1,1,17,10,7,58.82352941,349,183,166,52.43553009
Joe O'Boye,ENG,1,1989,1989,First Round,1,1,0,0,0,0,0,1,0,1,0,16,6,10,37.5
Joe Perry,ENG,18,1999,2016,Semi-Finals,14,6,6,1,1,0,0,25,11,14,44,472,227,245,48.09322034
Joe Swail,NIR,17,1993,2009,Semi-Finals,12,6,4,0,2,0,0,22,10,12,45.45454545,440,209,231,47.5
John Bear,CAN,1,1982,1982,First Round,1,1,0,0,0,0,0,1,0,1,0,17,7,10,41.17647059
John Campbell,AUS,6,1983,1988,Last 16,5,4,1,0,0,0,0,6,1,5,16.66666667,94,33,61,35.10638298
