match_number,year,round,round_code,tournament_stage,best_of,frames_played,player_1,player_1_nat,player_1_seed,player_1_score,player_1_pct,player_1_result,player_2,player_2_nat,player_2_seed,player_2_score,player_2_pct,player_2_result,winner,winner_nat,winner_seed,winner_score,loser,loser_nat,loser_seed,loser_score,margin,match_up
1,1977,Last 16,L16,2,25,20,Patsy Fagan,IRL,u,7,35,L,Ray Reardon,WAL,1,13,65,W,Ray Reardon,WAL,1,13,Patsy Fagan,IRL,u,7,6,Patsy Fagan v Ray Reardon
1,1977,Last 16,L16,2,25,20,Ray Reardon,WAL,1,13,65,W,Patsy Fagan,IRL,u,7,35,L,Ray Reardon,WAL,1,13,Patsy Fagan,IRL,u,7,6,Patsy Fagan v Ray Reardon
2,1977,Last 16,L16,2,25,22,John Spencer,ENG,8,13,59.09090909,W,John Virgo,ENG,u,9,40.90909091,L,John Spencer,ENG,8,13,John Virgo,ENG,u,9,4,John Spencer v John Virgo
2,1977,Last 16,L16,2,25,22,John Virgo,ENG,u,9,40.90909091,L,John Spencer,ENG,8,13,59.09090909,W,John Spencer,ENG,8,13,John Virgo,ENG,u,9,4,John Spencer v John Virgo
3,1977,Last 16,L16,2,25,17,Graham Miles,ENG,5,13,76.47058824,W,Willie Thorne,ENG,u,4,23.52941176,L,Graham Miles,ENG,5,13,Willie Thorne,ENG,u,4,9,Graham Miles v Willie Thorne
3,1977,Last 16,L16,2,25,17,Willie Thorne,ENG,u,4,23.52941176,L,Graham Miles,ENG,5,13,76.47058824,W,Graham Miles,ENG,5,13,Willie Thorne,ENG,u,4,9,Graham Miles v Willie Thorne
4,1977,Last 16,L16,2,25,25,Fred Davis,ENG,4,12,48,L,John Pulman,ENG,u,13,52,W,John Pulman,ENG,u,13,Fred Davis,ENG,4,12,1,Fred Davis v John Pulman
4,1977,Last 16,L16,2,25,25,John Pulman,ENG,u,13,52,W,Fred Davis,ENG,4,12,48,L,John Pulman,ENG,u,13,Fred Davis,ENG,4,12,1,Fred Davis v John Pulman
5,1977,Last 16,L16,2,25,18,David Taylor,ENG,u,5,27.77777778,L,Eddie Charlton,AUS,3,13,72.22222222,W,Eddie Charlton,AUS,3,13,David Taylor,ENG,u,5,8,David Taylor v Eddie Charlton
5,1977,Last 16,L16,2,25,18,Eddie Charlton,AUS,3,13,72.22222222,W,David Taylor,ENG,u,5,27.77777778,L,Eddie Charlton,AUS,3,13,David Taylor,ENG,u,5,8,David Taylor v Eddie Charlton
6,1977,Last 16,L16,2,25,19,Cliff Thorburn,CAN,u,13,68.42105263,W,Rex Williams,ENG,6,6,31.57894737,L,Cliff Thorburn,CAN,u,13,Rex Williams,ENG,6,6,7,Cliff Thorburn v Rex Williams
6,1977,Last 16,L16,2,25,19,Rex Williams,ENG,6,6,31.57894737,L,Cliff Thorburn,CAN,u,13,68.42105263,W,Cliff Thorburn,CAN,u,13,Rex Williams,ENG,6,6,7,Cliff Thorburn v Rex Williams
7,1977,Last 16,L16,2,25,24,Dennis Taylor,NIR,u,13,54.16666667,W,Perrie Mans,RSA,7,11,45.83333333,L,Dennis Taylor,NIR,u,13,Perrie Mans,RSA,7,11,2,Dennis Taylor v Perrie Mans
7,1977,Last 16,L16,2,25,24,Perrie Mans,RSA,7,11,45.83333333,L,Dennis Taylor,NIR,u,13,54.16666667,W,Dennis Taylor,NIR,u,13,Perrie Mans,RSA,7,11,2,Dennis Taylor v Perrie Mans
