record_type,record_number,year,position_in_draw,result,result_code,tournament_stage,player,country,participation,matches_played,matches_won,matches_lost,frames_played,frames_won,frames_lost,match_win_pct,frame_win_pct
tournament,1,1977,1,Quarter-Finals,QF,3,Ray Reardon,WAL,1,2,1,1,39,19,20,50,48.71794872
tournament,2,1977,2,Last 16,L16,2,Patsy Fagan,IRL,1,1,0,1,20,7,13,0,35
tournament,3,1977,3,Winner,W,6,John Spencer,ENG,1,4,4,0,121,69,52,100,57.02479339
tournament,4,1977,4,Last 16,L16,2,John Virgo,ENG,1,1,0,1,22,9,13,0,40.90909091
tournament,5,1977,5,Quarter-Finals,QF,3,Graham Miles,ENG,1,2,1,1,40,23,17,50,57.5
tournament,6,1977,6,Last 16,L16,2,Willie Thorne,ENG,1,1,0,1,17,4,13,0,23.52941176
tournament,7,1977,7,Last 16,L16,2,Fred Davis,ENG,1,1,0,1,25,12,13,0,48
tournament,8,1977,8,Semi-Finals,SF,4,John Pulman,ENG,1,3,2,1,82,42,40,66.66666667,51.2195122
tournament,9,1977,9,Quarter-Finals,QF,3,Eddie Charlton,AUS,1,2,1,1,43,25,18,50,58.13953488
tournament,10,1977,10,Last 16,L16,2,David Taylor,ENG,1,1,0,1,18,5,13,0,27.77777778
tournament,11,1977,11,Last 16,L16,2,Rex Williams,ENG,1,1,0,1,19,6,13,0,31.57894737
tournament,12,1977,12,Runner-Up,TF,5,Cliff Thorburn,CAN,1,4,3,1,124,65,59,75,52.41935484
tournament,13,1977,13,Last 16,L16,2,Perrie Mans,RSA,1,1,0,1,24,11,13,0,45.83333333
tournament,14,1977,14,Semi-Finals,SF,4,Dennis Taylor,NIR,1,3,2,1,82,42,40,66.66666667,51.2195122
tournament,15,1977,15,Last 16,L16,2,Alex Higgins,NIR,1,1,0,1,25,12,13,0,48
tournament,16,1977,16,Quarter-Finals,QF,3,Doug Mountjoy,WAL,1,2,1,1,49,24,25,50,48.97959184
tournament,17,1978,1,Last 16,L16,2,John Spencer,ENG,2,1,0,1,21,8,13,0,38.0952381
tournament,18,1978,2,Runner-Up,TF,5,Perrie Mans,RSA,2,4,3,1,118,62,56,75,52.54237288
tournament,19,1978,3,Quarter-Finals,QF,3,Graham Miles,ENG,2,2,1,1,43,20,23,50,46.51162791
tournament,20,1978,4,Last 16,L16,2,David Taylor,ENG,2,1,0,1,23,10,13,0,43.47826087
tournament,21,1978,5,Last 16,L16,2,Alex Higgins,NIR,2,1,0,1,25,12,13,0,48
tournament,22,1978,6,Quarter-Finals,QF,3,Patsy Fagan,IRL,2,2,1,1,48,23,25,50,47.91666667
tournament,23,1978,7,Last 16,L16,2,Dennis Taylor,NIR,2,1,0,1,22,9,13,0,40.90909091
tournament,24,1978,8,Semi-Finals,SF,4,Fred Davis,ENG,2,4,2,2,89,45,44,50,50.56179775
tournament,25,1978,9,Semi-Finals,SF,4,Eddie Charlton,AUS,2,4,3,1,92,47,45,75,51.08695652
tournament,26,1978,10,Last 16,L16,2,Willie Thorne,ENG,2,1,0,1,25,12,13,0,48
tournament,27,1978,11,Quarter-Finals,QF,3,Cliff Thorburn,CAN,2,2,1,1,46,25,21,50,54.34782609
tournament,28,1978,12,Last 16,L16,2,Pat Houlihan,ENG,1,1,0,1,21,8,13,0,38.0952381
